Created Date,Agency,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address
6/20/2016 22:04,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11231,70 BUSH STREET
6/21/2016 13:39,DEP,Noise,Noise: Alarms (NR3),,11231,39 COFFEY STREET
6/21/2016 14:14,NYPD,Noise - Commercial,Banging/Pounding,Store/Commercial,11231,175 DIKEMAN STREET
6/22/2016 8:10,NYPD,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,11231,SMITH STREET
6/23/2016 4:59,DEP,Noise,Noise: Construction Before/After Hours (NM1),,11231,344 DEGRAW STREET
6/23/2016 10:38,NYPD,Noise - Commercial,Car/Truck Horn,Store/Commercial,11231,175 DIKEMAN STREET
6/23/2016 10:40,NYPD,Noise - Commercial,Car/Truck Horn,Store/Commercial,11231,175 DIKEMAN STREET
6/23/2016 20:38,DEP,Noise,"Noise, Barking Dog (NR5)",,11231,366 PRESIDENT STREET
6/23/2016 22:17,NYPD,Noise - Residential,Loud Talking,Residential Building/House,11231,177 COLUMBIA STREET
6/24/2016 1:03,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11231,31 CENTRE MALL
6/24/2016 14:53,NYPD,Noise - Residential,Banging/Pounding,Residential Building/House,11231,80 DWIGHT STREET
6/24/2016 21:02,DEP,Noise,Noise: Construction Before/After Hours (NM1),,11231,
6/24/2016 22:50,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11231,93 BUTLER STREET
6/25/2016 1:29,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11231,2 PLACE
6/25/2016 3:00,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11231,6 STRONG PLACE
6/25/2016 7:54,DEP,Noise,Noise: Manufacturing Noise (NK1),,11231,435 HOYT STREET
6/25/2016 10:07,DEP,Noise,Noise: Jack Hammering (NC2),,11231,542 CLINTON STREET
6/25/2016 11:00,DEP,Noise,Noise: Construction Before/After Hours (NM1),,11231,546 CLINTON STREET
6/25/2016 13:38,DEP,Noise,Noise: Construction Before/After Hours (NM1),,11231,473 UNION STREET
6/25/2016 15:57,DEP,Noise,Noise: Construction Before/After Hours (NM1),,11231,450 HENRY STREET
6/25/2016 21:01,DEP,Noise,Noise: Construction Before/After Hours (NM1),,11231,20 CARROLL STREET
6/25/2016 21:01,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11231,11 DWIGHT STREET
6/25/2016 21:35,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11231,17 DWIGHT STREET
6/25/2016 21:38,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11231,17 DWIGHT STREET
6/25/2016 21:50,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11231,11 DWIGHT STREET
6/25/2016 22:28,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11231,15 DWIGHT STREET
6/25/2016 22:38,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11231,11 DWIGHT STREET
6/25/2016 22:53,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11231,DWIGHT STREET
6/25/2016 23:03,NYPD,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11231,121 COLUMBIA STREET
6/25/2016 23:49,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11231,11 DWIGHT STREET
6/25/2016 23:59,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11231,11 DWIGHT STREET
6/26/2016 0:17,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11231,105 2 PLACE
6/26/2016 0:27,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11231,92 4 PLACE
6/26/2016 0:52,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11231,90 4 PLACE
