dt,sensor,lux,con,spl
6/21/2016 0:00,sensor_0,0,2834.03125,66.30847906
6/21/2016 0:00,sensor_2,0,1691.99625,70.37594319
6/21/2016 0:00,sensor_3,0,1686.44125,76.23573826
6/21/2016 0:00,sensor_4,0,2324.65875,70.65233387
6/21/2016 4:00,sensor_0,3213.5,2748.28875,81.46743634
6/21/2016 4:00,sensor_2,1703,2550.945,72.33445048
6/21/2016 4:00,sensor_3,712.5,2041.33,79.44586946
6/21/2016 4:00,sensor_4,3057.75,3041.73875,81.49942213
6/21/2016 8:00,sensor_0,24532.625,2720.35125,80.02059991
6/21/2016 8:00,sensor_2,19257.5,3088.8275,76.37204707
6/21/2016 8:00,sensor_3,2152.875,2369.7175,80.73860866
6/21/2016 8:00,sensor_4,14859,2757.6725,77.78556522
6/21/2016 12:00,sensor_0,40268.25,2443.72875,76.52587581
6/21/2016 12:00,sensor_2,11213.125,2561.64625,77.57171502
6/21/2016 12:00,sensor_3,6361.5,1985.25625,81.86168376
6/21/2016 12:00,sensor_4,34566.5,2409.32625,73.50313545
6/21/2016 16:00,sensor_0,17189.75,2717.49625,80.02059991
6/21/2016 16:00,sensor_2,5939.25,2721.79125,75.63583675
6/21/2016 16:00,sensor_3,4337.125,2255.3775,79.67511341
6/21/2016 16:00,sensor_4,13819.375,2944.80375,74.06179698
6/21/2016 20:00,sensor_0,157.75,2839.575,72.06179974
6/21/2016 20:00,sensor_2,94,2011.69375,72.57865158
6/21/2016 20:00,sensor_3,59.125,1768.385,78.12838488
6/21/2016 20:00,sensor_4,190.75,1992.24,72.39473983
6/22/2016 0:00,sensor_0,0,2451.52875,66.30847906
6/22/2016 0:00,sensor_2,0,1588.41375,70.12699897
6/22/2016 0:00,sensor_3,0,1907.6975,73.48430963
6/22/2016 0:00,sensor_4,0,1999.24125,69.80445119
6/22/2016 4:00,sensor_0,4075.875,2161.75,69.91760035
6/22/2016 4:00,sensor_2,4251.125,2007.6925,72.03957208
6/22/2016 4:00,sensor_3,816.375,2125.37125,79.44547447
6/22/2016 4:00,sensor_4,4537.5,2763.72125,70.81193082
6/22/2016 8:00,sensor_0,27930.75,2714.7975,77.07629729
6/22/2016 8:00,sensor_2,14378,2652.43875,77.18461442
6/22/2016 8:00,sensor_3,2226.375,3012.7775,78.96833341
6/22/2016 8:00,sensor_4,20280,3028.1925,73.61674856
6/22/2016 12:00,sensor_0,44426.625,2786.37125,88.6478752
6/22/2016 12:00,sensor_2,8121.25,2528.38625,78.1364706
6/22/2016 12:00,sensor_3,5074.875,3450.05375,81.4589132
6/22/2016 12:00,sensor_4,33164.75,2453.33875,87.0135107
6/22/2016 16:00,sensor_0,19103.125,2547.83625,80.69912232
6/22/2016 16:00,sensor_2,4638,2516.44375,77.09706602
6/22/2016 16:00,sensor_3,4209.375,2337.99625,76.49704949
6/22/2016 16:00,sensor_4,11140.125,2202.265,81.22253102
6/22/2016 20:00,sensor_0,180.125,2470.1975,69.91760035
6/22/2016 20:00,sensor_2,115.25,1657.26875,74.86028778
6/22/2016 20:00,sensor_3,77.375,2010.21875,77.49541543
6/22/2016 20:00,sensor_4,250.625,2024.15,71.85189284
6/23/2016 0:00,sensor_0,0,2349.26,64.88136089
6/23/2016 0:00,sensor_2,0,1488.98375,71.58709783
6/23/2016 0:00,sensor_3,0,1791.2875,73.93543477
6/23/2016 0:00,sensor_4,0,1741.175,70.32168878
6/23/2016 4:00,sensor_0,4068.75,2857.1825,67.53387219
6/23/2016 4:00,sensor_2,2264.375,1853.7675,72.4894658
6/23/2016 4:00,sensor_3,953.625,2386.17375,76.07016376
6/23/2016 4:00,sensor_4,4003.875,2419.2325,70.96864812
6/23/2016 8:00,sensor_0,22954.25,3342.97625,72.58837851
6/23/2016 8:00,sensor_2,15352.375,2683.32375,74.19826194
6/23/2016 8:00,sensor_3,5075.125,2810.55625,82.12329297
6/23/2016 8:00,sensor_4,27865.75,2983.7175,71.7107204
6/23/2016 12:00,sensor_0,33231.375,7509.04875,76.84465984
6/23/2016 12:00,sensor_2,14753.625,2405.71125,76.45314367
6/23/2016 12:00,sensor_3,7879.75,2857.315,82.41589848
6/23/2016 12:00,sensor_4,33577,8536.32875,72.26210777
6/23/2016 16:00,sensor_0,14234.875,2972.10125,75.02305045
6/23/2016 16:00,sensor_2,4765.25,1866.3175,76.76651245
6/23/2016 16:00,sensor_3,3210.125,2202.18125,80.06118092
6/23/2016 16:00,sensor_4,10981.75,2921.46875,72.90427789
6/23/2016 20:00,sensor_0,126.75,2769.56375,73.32283465
6/23/2016 20:00,sensor_2,86.875,1505.5325,72.20350131
6/23/2016 20:00,sensor_3,53.75,2264.93875,78.58209495
6/23/2016 20:00,sensor_4,172.5,2503.91625,69.98024857
6/24/2016 0:00,sensor_0,0,2883.735,63.17275698
6/24/2016 0:00,sensor_2,0,1733.47125,71.05655247
6/24/2016 0:00,sensor_3,0,1794.35625,70.4729734
6/24/2016 0:00,sensor_4,0,2436.06,69.62447005
6/24/2016 4:00,sensor_0,3439.625,2784.95875,72.96336723
6/24/2016 4:00,sensor_2,3523.25,2491.0175,73.82328332
6/24/2016 4:00,sensor_3,656.375,2163.055,78.32930477
6/24/2016 4:00,sensor_4,3318.625,3159.51625,71.71137177
6/24/2016 8:00,sensor_0,16731.625,2918.5975,76.68673022
6/24/2016 8:00,sensor_2,13909.875,2407.0975,75.05518944
6/24/2016 8:00,sensor_3,1950.375,2867.7825,79.84369872
6/24/2016 8:00,sensor_4,4651.75,2734.2375,74.38302917
6/24/2016 12:00,sensor_0,5454.875,4268.22375,85.84908701
6/24/2016 12:00,sensor_2,5473,2371.1425,76.78742391
6/24/2016 12:00,sensor_3,3831.875,4316.285,81.08248471
6/24/2016 12:00,sensor_4,20026.25,2768.5175,83.60896658
6/24/2016 16:00,sensor_0,17326.25,3416.27875,78.73578199
6/24/2016 16:00,sensor_2,3505.75,2462.61375,74.61806852
6/24/2016 16:00,sensor_3,3739,2344.2025,80.22367974
6/24/2016 16:00,sensor_4,9883.75,3414.48875,79.03036696
6/24/2016 20:00,sensor_0,157.625,3353.78875,74.52657877
6/24/2016 20:00,sensor_2,107.75,1952.50375,73.8567132
6/24/2016 20:00,sensor_3,75.25,2174.03625,80.11166915
6/24/2016 20:00,sensor_4,230.375,2803.53875,70.65184337
6/25/2016 0:00,sensor_0,0,2836.56,68.40318607
6/25/2016 0:00,sensor_2,0,2298.47875,70.53382093
6/25/2016 0:00,sensor_3,0,1865.41,74.77660456
6/25/2016 0:00,sensor_4,0,2483.3125,69.44068044
6/25/2016 4:00,sensor_0,3082.375,3017.26,67.97940009
6/25/2016 4:00,sensor_2,3280.5,2461.28,69.76172834
6/25/2016 4:00,sensor_3,559.875,1827.17375,75.80450973
6/25/2016 4:00,sensor_4,2585.25,2603.505,69.98024857
6/25/2016 8:00,sensor_0,21034.75,3158.91375,76.52587581
6/25/2016 8:00,sensor_2,13452.875,3083.4825,73.92361529
6/25/2016 8:00,sensor_3,1721.625,2762.3425,80.53166124
6/25/2016 8:00,sensor_4,4761.375,2954.9075,72.26288094
6/25/2016 12:00,sensor_0,23035.125,2709.1875,78.41523308
6/25/2016 12:00,sensor_2,7054.875,2321.385,75.45417402
6/25/2016 12:00,sensor_3,4172.625,1965.17625,78.33185275
6/25/2016 12:00,sensor_4,24547.375,2692.8725,74.6887604
6/25/2016 16:00,sensor_0,15936.375,2236.9425,79.68861468
6/25/2016 16:00,sensor_2,2374.5,1699.17125,71.48399521
6/25/2016 16:00,sensor_3,2930.75,1854.05875,81.45746761
6/25/2016 16:00,sensor_4,7233.875,2080.6975,75.08425808
6/25/2016 20:00,sensor_0,175.125,2594.2475,75.02305045
6/25/2016 20:00,sensor_2,114.625,1729.84125,71.91793735
6/25/2016 20:00,sensor_3,76,1937.2375,82.12352808
6/25/2016 20:00,sensor_4,246.75,2156.935,70.48825005
6/26/2016 0:00,sensor_0,0,2156.685,69.56302501
6/26/2016 0:00,sensor_2,0,1658.82,72.19218296
6/26/2016 0:00,sensor_3,0,1819.09875,78.19488978
6/26/2016 0:00,sensor_4,0,2307.68,69.98077851
6/26/2016 4:00,sensor_0,3491.625,2129.61875,67.7594924
6/26/2016 4:00,sensor_2,3575.25,2105.245,68.89698694
6/26/2016 4:00,sensor_3,636.75,1876.6825,72.62566545
