Id,Id2,Geography,Median household income in 1999
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",0
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",42539
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",39013
1400000US36005000500,36005000500,"Census Tract 5, Bronx County, New York",0
1400000US36005001100,36005001100,"Census Tract 11, Bronx County, New York",25588
1400000US36005001500,36005001500,"Census Tract 15, Bronx County, New York",26250
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",24552
1400000US36005001700,36005001700,"Census Tract 17, Bronx County, New York",21283
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",14691
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",14112
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",0
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",12221
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",12898
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",12654
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",34234
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",27330
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",11322
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",18736
1400000US36005003600,36005003600,"Census Tract 36, Bronx County, New York",29375
1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",23750
1400000US36005003800,36005003800,"Census Tract 38, Bronx County, New York",47647
1400000US36005003900,36005003900,"Census Tract 39, Bronx County, New York",15893
1400000US36005004001,36005004001,"Census Tract 40.01, Bronx County, New York",29545
1400000US36005004002,36005004002,"Census Tract 40.02, Bronx County, New York",0
1400000US36005004100,36005004100,"Census Tract 41, Bronx County, New York",12970
1400000US36005004300,36005004300,"Census Tract 43, Bronx County, New York",19434
1400000US36005004400,36005004400,"Census Tract 44, Bronx County, New York",13185
1400000US36005004600,36005004600,"Census Tract 46, Bronx County, New York",17976
1400000US36005004700,36005004700,"Census Tract 47, Bronx County, New York",11817
1400000US36005004800,36005004800,"Census Tract 48, Bronx County, New York",19023
1400000US36005004900,36005004900,"Census Tract 49, Bronx County, New York",25662
1400000US36005005000,36005005000,"Census Tract 50, Bronx County, New York",20385
1400000US36005005200,36005005200,"Census Tract 52, Bronx County, New York",13826
1400000US36005005301,36005005301,"Census Tract 53.01, Bronx County, New York",0
1400000US36005005302,36005005302,"Census Tract 53.02, Bronx County, New York",15527
1400000US36005005400,36005005400,"Census Tract 54, Bronx County, New York",21282
1400000US36005005600,36005005600,"Census Tract 56, Bronx County, New York",12604
1400000US36005005700,36005005700,"Census Tract 57, Bronx County, New York",32279
1400000US36005005800,36005005800,"Census Tract 58, Bronx County, New York",6250
1400000US36005005901,36005005901,"Census Tract 59.01, Bronx County, New York",23138
1400000US36005005902,36005005902,"Census Tract 59.02, Bronx County, New York",33256
1400000US36005006000,36005006000,"Census Tract 60, Bronx County, New York",30242
1400000US36005006100,36005006100,"Census Tract 61, Bronx County, New York",30469
1400000US36005006200,36005006200,"Census Tract 62, Bronx County, New York",16314
1400000US36005006400,36005006400,"Census Tract 64, Bronx County, New York",35279
1400000US36005006500,36005006500,"Census Tract 65, Bronx County, New York",17457
1400000US36005006600,36005006600,"Census Tract 66, Bronx County, New York",26994
1400000US36005006700,36005006700,"Census Tract 67, Bronx County, New York",17353
1400000US36005006800,36005006800,"Census Tract 68, Bronx County, New York",25966
1400000US36005006900,36005006900,"Census Tract 69, Bronx County, New York",10576
1400000US36005007000,36005007000,"Census Tract 70, Bronx County, New York",32146
1400000US36005007100,36005007100,"Census Tract 71, Bronx County, New York",36316
1400000US36005007200,36005007200,"Census Tract 72, Bronx County, New York",31126
1400000US36005007300,36005007300,"Census Tract 73, Bronx County, New York",21545
1400000US36005007400,36005007400,"Census Tract 74, Bronx County, New York",40654
1400000US36005007500,36005007500,"Census Tract 75, Bronx County, New York",20813
1400000US36005007700,36005007700,"Census Tract 77, Bronx County, New York",21958
1400000US36005007800,36005007800,"Census Tract 78, Bronx County, New York",34353
1400000US36005007900,36005007900,"Census Tract 79, Bronx County, New York",14767
1400000US36005008100,36005008100,"Census Tract 81, Bronx County, New York",0
1400000US36005008300,36005008300,"Census Tract 83, Bronx County, New York",25886
1400000US36005008400,36005008400,"Census Tract 84, Bronx County, New York",39911
1400000US36005008500,36005008500,"Census Tract 85, Bronx County, New York",18403
1400000US36005008600,36005008600,"Census Tract 86, Bronx County, New York",14409
1400000US36005008700,36005008700,"Census Tract 87, Bronx County, New York",19615
1400000US36005008800,36005008800,"Census Tract 88, Bronx County, New York",16136
1400000US36005008900,36005008900,"Census Tract 89, Bronx County, New York",13007
1400000US36005009100,36005009100,"Census Tract 91, Bronx County, New York",8750
1400000US36005009200,36005009200,"Census Tract 92, Bronx County, New York",36589
1400000US36005009400,36005009400,"Census Tract 94, Bronx County, New York",40833
1400000US36005009700,36005009700,"Census Tract 97, Bronx County, New York","2,500-"
1400000US36005009800,36005009800,"Census Tract 98, Bronx County, New York",38642
1400000US36005009900,36005009900,"Census Tract 99, Bronx County, New York",18931
1400000US36005010200,36005010200,"Census Tract 102, Bronx County, New York",20417
1400000US36005010500,36005010500,"Census Tract 105, Bronx County, New York",9821
1400000US36005011000,36005011000,"Census Tract 110, Bronx County, New York",9461
1400000US36005011501,36005011501,"Census Tract 115.01, Bronx County, New York",18243
1400000US36005011502,36005011502,"Census Tract 115.02, Bronx County, New York",14167
1400000US36005011800,36005011800,"Census Tract 118, Bronx County, New York",57664
1400000US36005011900,36005011900,"Census Tract 119, Bronx County, New York",16990
1400000US36005012101,36005012101,"Census Tract 121.01, Bronx County, New York",21424
1400000US36005012102,36005012102,"Census Tract 121.02, Bronx County, New York",17688
1400000US36005012300,36005012300,"Census Tract 123, Bronx County, New York",17906
1400000US36005012500,36005012500,"Census Tract 125, Bronx County, New York",27566
1400000US36005012701,36005012701,"Census Tract 127.01, Bronx County, New York",12342
1400000US36005012702,36005012702,"Census Tract 127.02, Bronx County, New York",19803
1400000US36005012901,36005012901,"Census Tract 129.01, Bronx County, New York",13214
1400000US36005012902,36005012902,"Census Tract 129.02, Bronx County, New York",7044
1400000US36005013000,36005013000,"Census Tract 130, Bronx County, New York",48500
1400000US36005013100,36005013100,"Census Tract 131, Bronx County, New York",13281
1400000US36005013200,36005013200,"Census Tract 132, Bronx County, New York",54509
1400000US36005013300,36005013300,"Census Tract 133, Bronx County, New York",16426
1400000US36005013500,36005013500,"Census Tract 135, Bronx County, New York",14667
1400000US36005013700,36005013700,"Census Tract 137, Bronx County, New York",22437
1400000US36005013800,36005013800,"Census Tract 138, Bronx County, New York",48813
1400000US36005013900,36005013900,"Census Tract 139, Bronx County, New York",21685
1400000US36005014100,36005014100,"Census Tract 141, Bronx County, New York",14123
1400000US36005014300,36005014300,"Census Tract 143, Bronx County, New York",8606
1400000US36005014400,36005014400,"Census Tract 144, Bronx County, New York",22656
1400000US36005014500,36005014500,"Census Tract 145, Bronx County, New York",14264
1400000US36005014700,36005014700,"Census Tract 147, Bronx County, New York",10775
1400000US36005014900,36005014900,"Census Tract 149, Bronx County, New York",14353
1400000US36005015100,36005015100,"Census Tract 151, Bronx County, New York",18448
1400000US36005015300,36005015300,"Census Tract 153, Bronx County, New York",20918
1400000US36005015400,36005015400,"Census Tract 154, Bronx County, New York",52339
1400000US36005015500,36005015500,"Census Tract 155, Bronx County, New York",17616
1400000US36005015600,36005015600,"Census Tract 156, Bronx County, New York",56343
