Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2010 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2010 inflation-adjusted dollars)
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",-,**
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",59826,12915
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",71968,8223
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",30355,4528
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",25093,9973
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",24939,8217
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",13756,1345
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",-,**
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",15207,4046
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",19450,5003
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",19300,4223
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",44036,3787
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",33603,19299
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",16021,5409
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",20403,3345
1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",23304,11094
1400000US36005003800,36005003800,"Census Tract 38, Bronx County, New York",55625,26284
1400000US36005003900,36005003900,"Census Tract 39, Bronx County, New York",31566,6879
1400000US36005004001,36005004001,"Census Tract 40.01, Bronx County, New York",44432,12105
1400000US36005004100,36005004100,"Census Tract 41, Bronx County, New York",18272,4774
1400000US36005004200,36005004200,"Census Tract 42, Bronx County, New York",35816,3077
1400000US36005004300,36005004300,"Census Tract 43, Bronx County, New York",24594,10450
1400000US36005004400,36005004400,"Census Tract 44, Bronx County, New York",16086,4014
1400000US36005004600,36005004600,"Census Tract 46, Bronx County, New York",22146,22341
1400000US36005004800,36005004800,"Census Tract 48, Bronx County, New York",25168,4167
1400000US36005005001,36005005001,"Census Tract 50.01, Bronx County, New York",28933,7972
1400000US36005005002,36005005002,"Census Tract 50.02, Bronx County, New York",26439,8667
1400000US36005005100,36005005100,"Census Tract 51, Bronx County, New York",16283,3557
1400000US36005005200,36005005200,"Census Tract 52, Bronx County, New York",33750,17796
1400000US36005005300,36005005300,"Census Tract 53, Bronx County, New York",14821,4389
1400000US36005005400,36005005400,"Census Tract 54, Bronx County, New York",33672,7003
1400000US36005005600,36005005600,"Census Tract 56, Bronx County, New York",30402,9993
1400000US36005005902,36005005902,"Census Tract 59.02, Bronx County, New York",36098,6676
1400000US36005006000,36005006000,"Census Tract 60, Bronx County, New York",27574,13793
1400000US36005006100,36005006100,"Census Tract 61, Bronx County, New York",37936,5113
1400000US36005006200,36005006200,"Census Tract 62, Bronx County, New York",20952,3883
1400000US36005006300,36005006300,"Census Tract 63, Bronx County, New York",28735,6605
1400000US36005006400,36005006400,"Census Tract 64, Bronx County, New York",42596,9453
1400000US36005006500,36005006500,"Census Tract 65, Bronx County, New York",21119,1569
1400000US36005006700,36005006700,"Census Tract 67, Bronx County, New York",16745,1869
1400000US36005006800,36005006800,"Census Tract 68, Bronx County, New York",35078,10997
1400000US36005006900,36005006900,"Census Tract 69, Bronx County, New York",21316,12428
1400000US36005007000,36005007000,"Census Tract 70, Bronx County, New York",46313,7508
1400000US36005007100,36005007100,"Census Tract 71, Bronx County, New York",27303,17027
1400000US36005007200,36005007200,"Census Tract 72, Bronx County, New York",39638,8774
1400000US36005007300,36005007300,"Census Tract 73, Bronx County, New York",26364,9891
1400000US36005007400,36005007400,"Census Tract 74, Bronx County, New York",43725,6945
1400000US36005007500,36005007500,"Census Tract 75, Bronx County, New York",24291,7578
1400000US36005007600,36005007600,"Census Tract 76, Bronx County, New York",40919,12096
1400000US36005007700,36005007700,"Census Tract 77, Bronx County, New York",38472,18954
1400000US36005007800,36005007800,"Census Tract 78, Bronx County, New York",38150,12406
1400000US36005007900,36005007900,"Census Tract 79, Bronx County, New York",16161,5979
1400000US36005008300,36005008300,"Census Tract 83, Bronx County, New York",25172,6707
1400000US36005008400,36005008400,"Census Tract 84, Bronx County, New York",69722,20892
1400000US36005008500,36005008500,"Census Tract 85, Bronx County, New York",25783,5737
1400000US36005008600,36005008600,"Census Tract 86, Bronx County, New York",24250,8858
1400000US36005008700,36005008700,"Census Tract 87, Bronx County, New York",24808,8211
1400000US36005008900,36005008900,"Census Tract 89, Bronx County, New York",18387,6009
1400000US36005009000,36005009000,"Census Tract 90, Bronx County, New York",24129,3543
1400000US36005009200,36005009200,"Census Tract 92, Bronx County, New York",45625,8562
1400000US36005009300,36005009300,"Census Tract 93, Bronx County, New York",31000,8204
1400000US36005009600,36005009600,"Census Tract 96, Bronx County, New York",41597,12435
1400000US36005009800,36005009800,"Census Tract 98, Bronx County, New York",52725,10664
1400000US36005011000,36005011000,"Census Tract 110, Bronx County, New York",41641,1969
1400000US36005011502,36005011502,"Census Tract 115.02, Bronx County, New York",20536,3755
1400000US36005011700,36005011700,"Census Tract 117, Bronx County, New York",11250,5371
1400000US36005011800,36005011800,"Census Tract 118, Bronx County, New York",74607,13027
1400000US36005011900,36005011900,"Census Tract 119, Bronx County, New York",20253,3881
1400000US36005012101,36005012101,"Census Tract 121.01, Bronx County, New York",38750,5603
1400000US36005012102,36005012102,"Census Tract 121.02, Bronx County, New York",11396,4132
1400000US36005012300,36005012300,"Census Tract 123, Bronx County, New York",13981,5665
1400000US36005012500,36005012500,"Census Tract 125, Bronx County, New York",32550,11841
1400000US36005012701,36005012701,"Census Tract 127.01, Bronx County, New York",15938,6322
1400000US36005012901,36005012901,"Census Tract 129.01, Bronx County, New York",18142,4322
1400000US36005013000,36005013000,"Census Tract 130, Bronx County, New York",85929,12999
1400000US36005013100,36005013100,"Census Tract 131, Bronx County, New York",23596,4167
1400000US36005013200,36005013200,"Census Tract 132, Bronx County, New York",78125,10685
1400000US36005013300,36005013300,"Census Tract 133, Bronx County, New York",18514,4610
1400000US36005013500,36005013500,"Census Tract 135, Bronx County, New York",16782,5521
1400000US36005013800,36005013800,"Census Tract 138, Bronx County, New York",58291,12265
1400000US36005014100,36005014100,"Census Tract 141, Bronx County, New York",18900,5264
1400000US36005014300,36005014300,"Census Tract 143, Bronx County, New York",8694,3717
1400000US36005014400,36005014400,"Census Tract 144, Bronx County, New York",25844,2288
1400000US36005014500,36005014500,"Census Tract 145, Bronx County, New York",20368,3446
1400000US36005014701,36005014701,"Census Tract 147.01, Bronx County, New York",16892,8210
1400000US36005014702,36005014702,"Census Tract 147.02, Bronx County, New York",15625,3225
1400000US36005014900,36005014900,"Census Tract 149, Bronx County, New York",23767,6428
1400000US36005015100,36005015100,"Census Tract 151, Bronx County, New York",25639,6761
1400000US36005015200,36005015200,"Census Tract 152, Bronx County, New York",45161,6633
1400000US36005015300,36005015300,"Census Tract 153, Bronx County, New York",19095,7202
1400000US36005015500,36005015500,"Census Tract 155, Bronx County, New York",22250,9119
1400000US36005015700,36005015700,"Census Tract 157, Bronx County, New York",24336,6114
1400000US36005015800,36005015800,"Census Tract 158, Bronx County, New York",44167,15251
1400000US36005015900,36005015900,"Census Tract 159, Bronx County, New York",32400,17741
1400000US36005016000,36005016000,"Census Tract 160, Bronx County, New York",73325,15916
1400000US36005016100,36005016100,"Census Tract 161, Bronx County, New York",17011,2779
1400000US36005016200,36005016200,"Census Tract 162, Bronx County, New York",66204,26924
1400000US36005016300,36005016300,"Census Tract 163, Bronx County, New York",-,**
1400000US36005016400,36005016400,"Census Tract 164, Bronx County, New York",77083,19655
1400000US36005016500,36005016500,"Census Tract 165, Bronx County, New York",16480,7063
1400000US36005016600,36005016600,"Census Tract 166, Bronx County, New York",85234,10032
1400000US36005016700,36005016700,"Census Tract 167, Bronx County, New York",39079,8751
1400000US36005016900,36005016900,"Census Tract 169, Bronx County, New York",23355,15698
1400000US36005017100,36005017100,"Census Tract 171, Bronx County, New York",-,**
1400000US36005017300,36005017300,"Census Tract 173, Bronx County, New York",15417,5640
1400000US36005017500,36005017500,"Census Tract 175, Bronx County, New York",14446,4169
1400000US36005017701,36005017701,"Census Tract 177.01, Bronx County, New York",19182,5815
1400000US36005017702,36005017702,"Census Tract 177.02, Bronx County, New York",21384,3886
1400000US36005017901,36005017901,"Census Tract 179.01, Bronx County, New York",23045,13035
1400000US36005017902,36005017902,"Census Tract 179.02, Bronx County, New York",19233,6632
1400000US36005018101,36005018101,"Census Tract 181.01, Bronx County, New York",34623,10064
1400000US36005018102,36005018102,"Census Tract 181.02, Bronx County, New York",35424,8776
1400000US36005018301,36005018301,"Census Tract 183.01, Bronx County, New York",28630,5385
1400000US36005018302,36005018302,"Census Tract 183.02, Bronx County, New York",32467,7569
